CpG,Chr,Position,Nearest gene,Gene group,Mean,SD,EST (week,P (week),EST (decade),P (decade),EST (life),P (life),FDR p (week),FDR p (decade),FDR p (life),Novel,Any at 10-7,Any at FDR=0.05
cg12168054,8,22560922,,,0.60,0.086,-0.0013,2.5E-04,-0.0013,6.9E-05,-0.0016,9.8E-06,1.4E-02,1.3E-02,3.3E-03,,,yes
cg08615650,11,67049363,ADRBK1,Body,0.70,0.061,-0.0007,2.5E-04,-0.0005,3.0E-03,-0.0006,1.4E-03,1.4E-02,1.2E-01,7.5E-02,,,yes
cg13586038,9,2044055,SMARCA2,Body,0.88,0.049,-0.0012,2.5E-04,-0.0008,8.6E-03,-0.0010,2.2E-03,1.4E-02,2.1E-01,9.9E-02,,,yes
cg26163284,19,42787174,,,0.64,0.038,-0.0004,2.5E-04,-0.0002,2.4E-02,-0.0003,4.9E-03,1.4E-02,3.3E-01,1.5E-01,,,yes
cg21211585,19,18496984,GDF15,1stExon,0.49,0.056,-0.0008,2.5E-04,-0.0005,1.9E-02,-0.0003,2.2E-01,1.4E-02,3.0E-01,7.0E-01,,,yes
cg06839449,14,76027073,,,0.89,0.033,-0.0011,2.5E-04,-0.0008,3.5E-03,-0.0011,5.5E-04,1.4E-02,1.3E-01,4.4E-02,,,yes
cg23235671,2,128617901,,,0.90,0.042,-0.0020,2.5E-04,-0.0010,3.6E-02,-0.0006,2.9E-01,1.4E-02,3.8E-01,7.6E-01,,,yes
cg26189139,8,22560972,,,0.57,0.088,-0.0012,2.5E-04,-0.0012,7.6E-05,-0.0013,1.3E-04,1.4E-02,1.4E-02,1.8E-02,,,yes
cg21697794,6,30095269,,,0.49,0.054,-0.0007,2.5E-04,-0.0004,3.5E-02,-0.0005,8.4E-03,1.4E-02,3.8E-01,1.9E-01,,,yes
cg26405097,6,15428301,JARID2,Body,0.47,0.089,-0.0007,2.5E-04,-0.0005,1.0E-02,-0.0004,4.9E-02,1.4E-02,2.2E-01,4.2E-01,no,,yes
cg25670076,6,90807675,BACH2,5'UTR,0.69,0.101,-0.0010,2.5E-04,-0.0006,2.1E-02,-0.0009,1.0E-03,1.4E-02,3.1E-01,6.4E-02,,,yes
cg21147310,1,85514708,MCOLN3,TSS1500,0.32,0.072,-0.0012,2.5E-04,-0.0010,6.4E-04,-0.0009,5.1E-03,1.4E-02,5.3E-02,1.5E-01,,,yes
cg19839825,19,7616011,PNPLA6,Body,0.91,0.058,-0.0027,2.5E-04,-0.0029,2.3E-05,-0.0037,1.1E-06,1.4E-02,6.1E-03,7.2E-04,,,yes
cg20994561,8,143544400,BAI1,TSS1500,0.81,0.035,-0.0008,2.5E-04,-0.0007,2.0E-03,-0.0007,2.2E-03,1.4E-02,9.9E-02,9.9E-02,,,yes
cg02939918,6,138726163,HEBP2,Body,0.30,0.093,-0.0012,2.5E-04,-0.0007,2.6E-02,-0.0009,8.1E-03,1.4E-02,3.4E-01,1.9E-01,,,yes
cg08969102,5,133563532,,,0.85,0.044,-0.0011,2.6E-04,-0.0009,1.4E-03,-0.0004,1.4E-01,1.4E-02,8.3E-02,6.1E-01,,,yes
cg04563046,8,93005307,RUNX1T1,Body,0.79,0.077,-0.0011,2.6E-04,-0.0005,6.9E-02,-0.0008,6.9E-03,1.4E-02,4.8E-01,1.8E-01,,,yes
cg01767230,6,88414961,,,0.81,0.085,-0.0012,2.6E-04,-0.0007,1.5E-02,-0.0010,3.3E-03,1.4E-02,2.7E-01,1.2E-01,,,yes
cg18171009,1,3089287,PRDM16,Body,0.70,0.057,-0.0009,2.6E-04,-0.0006,5.2E-03,-0.0007,7.4E-03,1.4E-02,1.7E-01,1.8E-01,,,yes
cg26421997,17,30179118,C17orf79,3'UTR,0.72,0.057,-0.0009,2.6E-04,-0.0006,1.2E-02,-0.0009,8.5E-04,1.4E-02,2.4E-01,5.7E-02,,,yes
cg26164773,10,121357476,TIAL1,TSS1500,0.93,0.032,-0.0012,2.6E-04,-0.0012,5.0E-05,-0.0009,1.3E-02,1.4E-02,1.0E-02,2.4E-01,,,yes
cg19942459,11,70508110,SHANK2,Body,0.16,0.079,-0.0019,2.6E-04,-0.0014,3.4E-03,-0.0017,1.7E-03,1.4E-02,1.3E-01,8.5E-02,,,yes
cg12731568,11,67196864,RPS6KB2,Body,0.85,0.033,-0.0009,2.6E-04,-0.0008,4.7E-04,-0.0009,4.6E-04,1.4E-02,4.3E-02,4.0E-02,,,yes
cg16583884,18,52625444,CCDC68,TSS200,0.80,0.042,-0.0009,2.6E-04,-0.0005,2.3E-02,-0.0006,2.2E-02,1.4E-02,3.2E-01,3.1E-01,,,yes
cg09018299,16,24748339,TNRC6A,Body,0.92,0.035,-0.0012,2.6E-04,-0.0007,3.0E-02,-0.0011,1.1E-03,1.4E-02,3.5E-01,6.8E-02,,,yes
cg26118008,1,109633210,TMEM167B,TSS200,0.02,0.015,0.0021,2.6E-04,0.0017,1.3E-03,0.0020,7.4E-04,1.4E-02,8.0E-02,5.3E-02,,,yes
cg21969792,4,1594995,,,0.82,0.055,-0.0013,2.6E-04,-0.0008,1.0E-02,-0.0012,1.0E-03,1.4E-02,2.3E-01,6.4E-02,,,yes
cg14984341,2,97136729,,,0.35,0.078,-0.0010,2.6E-04,-0.0008,1.6E-03,-0.0005,7.5E-02,1.4E-02,8.9E-02,4.9E-01,,,yes
cg09904296,12,133406047,GOLGA3,TSS1500,0.18,0.053,-0.0010,2.6E-04,-0.0005,6.0E-02,-0.0006,2.4E-02,1.4E-02,4.6E-01,3.1E-01,,,yes
cg22851561,14,74214183,C14orf43,5'UTR,0.59,0.086,-0.0010,2.6E-04,-0.0007,7.6E-03,-0.0009,1.8E-03,1.4E-02,2.0E-01,8.7E-02,,,yes
cg06888387,4,1711002,SLBP,Body,0.90,0.043,-0.0012,2.6E-04,-0.0009,1.5E-03,-0.0010,2.2E-03,1.4E-02,8.5E-02,9.8E-02,,,yes
cg07587786,14,106170956,,,0.65,0.058,-0.0007,2.6E-04,-0.0006,2.5E-03,-0.0006,6.1E-03,1.4E-02,1.1E-01,1.7E-01,,,yes
cg09461728,19,33463351,C19orf40,5'UTR,0.34,0.081,-0.0013,2.6E-04,-0.0008,1.5E-02,-0.0009,1.3E-02,1.4E-02,2.7E-01,2.4E-01,,,yes
cg09223851,7,101938115,SH2B2,Body,0.69,0.038,-0.0005,2.6E-04,-0.0004,2.4E-03,-0.0003,4.8E-02,1.4E-02,1.1E-01,4.2E-01,,,yes
cg17420585,12,42539391,GXYLT1,TSS1500,0.86,0.040,-0.0012,2.6E-04,-0.0011,1.8E-04,-0.0009,9.0E-03,1.4E-02,2.4E-02,2.0E-01,,,yes
cg07663278,12,51663310,SMAGP,5'UTR,0.49,0.052,-0.0007,2.6E-04,-0.0005,4.4E-03,-0.0007,3.1E-04,1.4E-02,1.5E-01,3.1E-02,,,yes
cg20597409,14,37640455,SLC25A21,Body,0.84,0.060,-0.0015,2.6E-04,-0.0008,3.2E-02,-0.0006,1.5E-01,1.4E-02,3.6E-01,6.2E-01,,,yes
cg12274082,6,32007986,CYP21A2,Body,0.63,0.034,-0.0005,2.6E-04,-0.0005,9.3E-06,-0.0005,8.4E-04,1.4E-02,3.3E-03,5.7E-02,,,yes
cg02254885,8,11759665,,,0.75,0.048,-0.0008,2.6E-04,-0.0007,1.6E-03,-0.0008,1.5E-03,1.4E-02,9.0E-02,7.9E-02,,,yes
cg02308150,10,102593679,,,0.66,0.068,-0.0009,2.6E-04,-0.0006,1.2E-02,-0.0011,9.8E-06,1.4E-02,2.4E-01,3.3E-03,,,yes
cg23344321,17,28707212,CPD,Body,0.15,0.057,-0.0014,2.6E-04,-0.0004,2.9E-01,-0.0010,1.4E-02,1.4E-02,7.5E-01,2.5E-01,,,yes
cg07574924,16,81682484,CMIP,Body,0.67,0.076,-0.0012,2.6E-04,-0.0006,3.8E-02,-0.0005,1.4E-01,1.4E-02,3.9E-01,6.1E-01,,,yes
cg00421164,6,7111068,RREB1,5'UTR,0.71,0.101,-0.0009,2.6E-04,-0.0007,2.4E-03,-0.0003,1.8E-01,1.4E-02,1.1E-01,6.6E-01,,,yes
cg23680451,10,3823790,KLF6,Body,0.24,0.076,-0.0012,2.6E-04,-0.0007,2.8E-02,-0.0013,8.5E-05,1.4E-02,3.5E-01,1.4E-02,,,yes
cg17500686,15,79621783,,,0.66,0.104,-0.0010,2.6E-04,-0.0006,2.4E-02,-0.0008,4.8E-03,1.4E-02,3.2E-01,1.5E-01,,,yes
cg12024906,19,37825679,HKR1,1stExon,0.41,0.104,-0.0017,2.6E-04,-0.0016,2.3E-04,-0.0014,4.8E-03,1.4E-02,2.8E-02,1.5E-01,,,yes
cg07242540,1,12600348,,,0.83,0.065,-0.0016,2.6E-04,-0.0012,2.2E-03,-0.0012,9.7E-03,1.4E-02,1.1E-01,2.1E-01,,,yes
cg06301178,16,31580150,CSDAP1,Body,0.39,0.067,-0.0008,2.6E-04,-0.0005,1.2E-02,-0.0005,1.4E-02,1.4E-02,2.5E-01,2.5E-01,,,yes
cg05850884,6,30174845,TRIM26,5'UTR,0.82,0.056,-0.0010,2.6E-04,-0.0009,3.2E-04,-0.0009,1.2E-03,1.4E-02,3.4E-02,7.1E-02,,,yes
cg12153480,3,186505713,EIF4A2,Body,0.60,0.089,-0.0010,2.6E-04,-0.0008,2.3E-03,-0.0008,4.9E-03,1.4E-02,1.1E-01,1.5E-01,,,yes
cg19021383,11,45922184,MAPK8IP1,Body,0.52,0.093,-0.0013,2.6E-04,-0.0010,2.4E-03,-0.0011,2.9E-03,1.4E-02,1.1E-01,1.1E-01,,,yes
cg13307384,12,50017787,PRPF40B,5'UTR,0.74,0.035,-0.0006,2.6E-04,-0.0008,1.4E-06,-0.0006,4.0E-04,1.4E-02,8.9E-04,3.7E-02,,,yes
cg22635885,X,16729564,CTPS2,5'UTR,0.90,0.060,-0.0027,2.6E-04,-0.0015,2.4E-02,-0.0010,2.0E-01,1.4E-02,3.3E-01,6.8E-01,,,yes
cg22058122,18,6414958,L3MBTL4,TSS200,0.08,0.066,-0.0025,2.6E-04,-0.0016,1.1E-02,-0.0024,7.2E-04,1.4E-02,2.4E-01,5.2E-02,,,yes
cg26158279,20,25565667,NINL,5'UTR,0.12,0.039,-0.0011,2.6E-04,-0.0005,4.8E-02,-0.0008,9.9E-03,1.4E-02,4.2E-01,2.1E-01,,,yes
cg06987246,7,6659785,ZNF853,Body,0.51,0.109,-0.0006,2.6E-04,-0.0004,2.7E-02,-0.0004,3.1E-02,1.4E-02,3.4E-01,3.5E-01,,,yes
cg19662922,12,9217079,LOC144571,TSS1500,0.30,0.097,-0.0017,2.6E-04,-0.0009,3.9E-02,-0.0011,2.4E-02,1.4E-02,3.9E-01,3.1E-01,,,yes
cg03888814,2,196933901,DNAH7,TSS1500,0.84,0.062,-0.0017,2.6E-04,-0.0010,2.3E-02,-0.0014,2.5E-03,1.4E-02,3.2E-01,1.1E-01,,,yes
cg20704774,19,15335041,,,0.45,0.076,-0.0005,2.6E-04,-0.0003,1.0E-02,-0.0003,3.7E-02,1.4E-02,2.2E-01,3.8E-01,,,yes
cg15846787,2,71126939,VAX2,TSS1500,0.07,0.024,-0.0012,2.6E-04,-0.0010,7.8E-04,-0.0010,5.3E-03,1.4E-02,5.9E-02,1.5E-01,,,yes
cg00293660,6,55103999,HCRTR2,Body,0.85,0.053,0.0016,2.6E-04,0.0015,4.6E-04,0.0009,4.5E-02,1.4E-02,4.2E-02,4.1E-01,,,yes
cg09907439,12,109031953,,,0.83,0.043,-0.0009,2.6E-04,-0.0007,7.6E-04,-0.0009,4.5E-04,1.4E-02,5.8E-02,3.9E-02,,,yes
cg19328051,18,12380944,,,0.83,0.037,-0.0009,2.6E-04,-0.0006,3.5E-03,-0.0006,9.4E-03,1.4E-02,1.4E-01,2.1E-01,,,yes
cg02580045,12,110449223,ANKRD13A,Body,0.78,0.064,-0.0009,2.6E-04,-0.0006,8.2E-03,-0.0008,1.1E-03,1.4E-02,2.1E-01,6.5E-02,,,yes
cg09745246,12,123213241,GPR81,3'UTR,0.59,0.062,-0.0008,2.6E-04,-0.0004,4.6E-02,-0.0004,9.2E-02,1.4E-02,4.2E-01,5.3E-01,,,yes
cg15329642,1,45308298,PTCH2,Body,0.75,0.048,-0.0009,2.6E-04,-0.0005,1.9E-02,-0.0007,5.1E-03,1.4E-02,3.0E-01,1.5E-01,,,yes
cg08211301,16,31216531,,,0.67,0.052,-0.0008,2.6E-04,-0.0006,2.0E-03,-0.0005,4.5E-02,1.4E-02,1.0E-01,4.1E-01,,,yes
cg11166287,14,104888911,,,0.64,0.048,-0.0007,2.6E-04,-0.0007,1.0E-04,-0.0008,2.9E-04,1.4E-02,1.7E-02,3.0E-02,,,yes
cg01323954,15,83654524,FAM103A1,TSS1500,0.10,0.057,-0.0020,2.6E-04,-0.0007,1.7E-01,-0.0015,8.6E-03,1.4E-02,6.4E-01,2.0E-01,,,yes
cg18717423,3,125986716,,,0.35,0.065,-0.0007,2.6E-04,-0.0004,1.8E-02,-0.0001,5.5E-01,1.4E-02,2.9E-01,8.9E-01,,,yes
cg24420742,12,77721808,,,0.81,0.058,-0.0012,2.6E-04,-0.0011,4.5E-04,-0.0011,1.1E-03,1.4E-02,4.2E-02,6.7E-02,no,,yes
cg09695851,17,3907499,,,0.70,0.074,-0.0008,2.6E-04,-0.0007,1.4E-04,-0.0006,5.1E-03,1.4E-02,2.0E-02,1.5E-01,,,yes
cg25250358,3,145879084,PLOD2,5'UTR,0.24,0.087,-0.0013,2.6E-04,-0.0005,1.2E-01,-0.0008,4.4E-02,1.4E-02,5.7E-01,4.1E-01,,,yes
cg16042668,3,46037592,FYCO1,TSS1500,0.27,0.067,-0.0012,2.6E-04,-0.0010,1.4E-03,-0.0013,2.9E-04,1.4E-02,8.3E-02,3.0E-02,,,yes
cg20849150,1,59522993,,,0.66,0.049,-0.0007,2.6E-04,-0.0005,1.1E-02,-0.0005,1.2E-02,1.4E-02,2.4E-01,2.3E-01,,,yes
cg27588083,16,87022565,,,0.80,0.042,-0.0008,2.6E-04,-0.0006,2.5E-03,-0.0008,3.1E-04,1.4E-02,1.1E-01,3.1E-02,,,yes
cg12571493,4,174256943,HMGB2,TSS1500,0.41,0.096,-0.0010,2.6E-04,-0.0009,5.2E-04,-0.0010,2.5E-04,1.4E-02,4.6E-02,2.8E-02,,,yes
cg27045264,16,31441954,,,0.70,0.052,-0.0007,2.6E-04,-0.0004,4.0E-02,-0.0003,1.2E-01,1.4E-02,4.0E-01,5.7E-01,,,yes
cg20912205,3,50337305,NAT6,TSS1500,0.25,0.055,-0.0010,2.6E-04,-0.0006,3.2E-02,-0.0006,5.1E-02,1.4E-02,3.7E-01,4.3E-01,,,yes
cg07647822,3,24537349,THRB,TSS1500,0.11,0.053,-0.0016,2.6E-04,-0.0012,2.2E-03,-0.0014,1.3E-03,1.4E-02,1.1E-01,7.3E-02,,,yes
cg19327213,19,47988783,KPTN,TSS1500,0.56,0.062,-0.0009,2.6E-04,-0.0004,8.4E-02,-0.0006,1.4E-02,1.4E-02,5.2E-01,2.5E-01,,,yes
cg00863306,19,13991470,NANOS3,3'UTR,0.14,0.032,-0.0009,2.6E-04,-0.0007,4.1E-03,-0.0008,2.5E-03,1.4E-02,1.5E-01,1.1E-01,,,yes
cg15625675,5,114957464,TMED7-TICAM2,Body,0.93,0.027,-0.0013,2.6E-04,-0.0011,1.4E-03,-0.0013,6.3E-04,1.4E-02,8.1E-02,4.8E-02,,,yes
cg22595920,1,9716050,C1orf200,TSS1500,0.37,0.089,-0.0007,2.6E-04,-0.0003,5.2E-02,-0.0007,2.4E-04,1.4E-02,4.4E-01,2.7E-02,,,yes
cg11468089,6,31506280,BAT1,Body,0.92,0.029,-0.0011,2.6E-04,-0.0010,4.0E-04,-0.0011,5.5E-04,1.4E-02,3.9E-02,4.4E-02,,,yes
cg11684302,12,4489155,FGF23,TSS1500,0.68,0.062,-0.0010,2.6E-04,-0.0007,7.3E-03,-0.0008,6.4E-03,1.4E-02,1.9E-01,1.7E-01,,,yes
cg11557463,7,79754567,,,0.59,0.135,-0.0020,2.6E-04,-0.0017,6.0E-04,-0.0009,9.2E-02,1.4E-02,5.0E-02,5.3E-01,,,yes
cg14817906,2,97466833,CNNM4,Body,0.30,0.051,0.0005,2.6E-04,0.0006,1.7E-05,0.0006,1.2E-05,1.4E-02,5.1E-03,3.7E-03,,,yes
cg07137845,3,170136485,CLDN11,TSS200,0.20,0.062,-0.0011,2.6E-04,-0.0004,1.2E-01,-0.0006,5.5E-02,1.4E-02,5.7E-01,4.4E-01,,,yes
cg10571104,19,44039755,ZNF575,Body,0.60,0.085,-0.0011,2.6E-04,-0.0009,1.4E-03,-0.0008,1.7E-02,1.4E-02,8.2E-02,2.7E-01,,,yes
cg26960370,10,73576410,PSAP,3'UTR,0.82,0.030,-0.0006,2.6E-04,-0.0004,6.2E-03,-0.0002,2.2E-01,1.4E-02,1.8E-01,7.0E-01,,,yes
cg23898497,8,128822543,PVT1,Body,0.79,0.045,-0.0008,2.6E-04,-0.0005,1.0E-02,-0.0007,2.3E-03,1.4E-02,2.3E-01,1.0E-01,,,yes
cg25769127,3,61543023,,,0.72,0.070,-0.0010,2.6E-04,-0.0008,1.4E-03,-0.0006,3.4E-02,1.4E-02,8.3E-02,3.6E-01,,,yes
cg05397490,13,33105476,N4BP2L2,Body,0.78,0.063,-0.0009,2.6E-04,-0.0006,6.8E-03,-0.0008,1.7E-03,1.4E-02,1.9E-01,8.6E-02,,,yes
cg24632873,3,50561368,,,0.73,0.073,-0.0010,2.6E-04,-0.0007,5.6E-03,-0.0010,1.7E-04,1.4E-02,1.7E-01,2.1E-02,,,yes
cg26337998,5,140749783,PCDHGA4,Body,0.14,0.056,-0.0016,2.6E-04,-0.0010,1.4E-02,-0.0013,6.2E-03,1.4E-02,2.6E-01,1.7E-01,,,yes
cg24900654,19,44285594,KCNN4,TSS200,0.52,0.051,-0.0004,2.6E-04,-0.0002,1.2E-02,-0.0002,2.7E-02,1.4E-02,2.5E-01,3.3E-01,,,yes
cg26815396,6,34495393,PACSIN1,Body,0.76,0.046,-0.0008,2.6E-04,-0.0006,3.0E-03,-0.0010,3.3E-05,1.4E-02,1.2E-01,7.5E-03,,,yes
cg12462883,3,112013231,SLC9A10,TSS200,0.91,0.040,-0.0017,2.6E-04,-0.0015,6.1E-04,-0.0015,2.6E-03,1.4E-02,5.1E-02,1.1E-01,,,yes
cg25973580,1,110603013,ALX3,3'UTR,0.82,0.032,-0.0008,2.6E-04,-0.0005,1.6E-02,-0.0004,5.8E-02,1.4E-02,2.8E-01,4.5E-01,,,yes
cg19536401,19,6504797,,,0.49,0.107,-0.0016,2.6E-04,-0.0017,2.9E-05,-0.0025,8.0E-08,1.4E-02,7.2E-03,1.0E-04,,yes,yes
cg06939852,16,51068651,,,0.53,0.067,-0.0009,2.6E-04,-0.0010,4.8E-05,-0.0007,5.6E-03,1.4E-02,1.0E-02,1.6E-01,,,yes
cg22694271,1,109823096,PSRC1,Body,0.52,0.121,-0.0009,2.6E-04,-0.0007,1.4E-03,-0.0008,8.1E-04,1.4E-02,8.2E-02,5.6E-02,,,yes
cg02809940,6,30078754,TRIM31,Body,0.92,0.032,-0.0011,2.6E-04,-0.0008,2.7E-03,-0.0007,2.7E-02,1.4E-02,1.2E-01,3.3E-01,,,yes
cg03244494,13,21010146,CRYL1,Body,0.93,0.034,-0.0018,2.6E-04,-0.0011,1.9E-02,-0.0005,2.9E-01,1.4E-02,2.9E-01,7.6E-01,,,yes
cg07318158,1,149915753,OTUD7B,3'UTR,0.84,0.033,-0.0008,2.6E-04,-0.0006,3.9E-03,-0.0008,8.4E-04,1.4E-02,1.4E-01,5.7E-02,,,yes
cg19022697,1,55247140,TTC22,Body,0.79,0.069,-0.0015,2.6E-04,-0.0014,2.4E-04,-0.0010,1.5E-02,1.4E-02,2.8E-02,2.6E-01,,,yes
cg21466315,3,133294854,CDV3,Body,0.67,0.077,-0.0009,2.6E-04,-0.0005,2.7E-02,-0.0005,4.2E-02,1.4E-02,3.4E-01,4.0E-01,,,yes
cg21520111,19,49713645,TRPM4,Body,0.60,0.072,-0.0011,2.6E-04,-0.0011,1.9E-04,-0.0004,1.8E-01,1.4E-02,2.5E-02,6.6E-01,,,yes
cg18033092,11,47024513,C11orf49,Body,0.68,0.088,-0.0008,2.6E-04,-0.0004,6.3E-02,-0.0004,8.1E-02,1.4E-02,4.7E-01,5.1E-01,,,yes
cg12315353,6,29573089,GABBR1,Body,0.46,0.065,-0.0008,2.6E-04,-0.0006,5.1E-03,-0.0008,4.8E-04,1.4E-02,1.6E-01,4.1E-02,,,yes
cg10769989,19,54106888,LOC284379,TSS200,0.70,0.083,-0.0016,2.6E-04,-0.0012,1.8E-03,-0.0011,1.3E-02,1.4E-02,9.5E-02,2.4E-01,,,yes
cg00799984,8,134307105,NDRG1,5'UTR,0.54,0.120,-0.0006,2.6E-04,-0.0005,6.1E-04,-0.0004,3.4E-02,1.4E-02,5.1E-02,3.7E-01,,,yes
cg03492460,6,88441469,,,0.48,0.062,-0.0007,2.6E-04,-0.0004,8.1E-03,-0.0007,2.7E-04,1.4E-02,2.0E-01,2.9E-02,,,yes
cg15692086,6,89340909,RNGTT,Body,0.90,0.041,-0.0018,2.6E-04,-0.0014,2.1E-03,-0.0016,1.4E-03,1.4E-02,1.0E-01,7.7E-02,,,yes
cg04813880,16,21171067,TMEM159,5'UTR,0.31,0.108,-0.0011,2.6E-04,-0.0006,2.9E-02,-0.0006,7.6E-02,1.4E-02,3.5E-01,5.0E-01,,,yes
cg14016200,19,10399157,ICAM5,TSS1500,0.34,0.065,-0.0011,2.6E-04,-0.0010,3.2E-04,-0.0010,1.6E-03,1.4E-02,3.4E-02,8.1E-02,,,yes
cg22644557,8,93030099,RUNX1T1,Body,0.91,0.035,-0.0017,2.6E-04,-0.0012,4.5E-03,-0.0009,5.2E-02,1.4E-02,1.5E-01,4.3E-01,,,yes
cg15989433,14,106165316,,,0.82,0.035,-0.0007,2.6E-04,-0.0004,3.5E-02,-0.0003,1.7E-01,1.4E-02,3.8E-01,6.5E-01,,,yes
cg01447831,7,155249133,,,0.27,0.066,-0.0013,2.6E-04,-0.0008,1.9E-02,-0.0013,6.2E-04,1.4E-02,3.0E-01,4.7E-02,,,yes
cg21484940,7,48129992,UPP1,5'UTR,0.85,0.050,-0.0014,2.7E-04,-0.0012,7.1E-04,-0.0012,1.7E-03,1.4E-02,5.6E-02,8.5E-02,,,yes
cg20071670,11,73661895,DNAJB13,1stExon,0.78,0.065,-0.0013,2.7E-04,-0.0008,1.2E-02,-0.0014,1.6E-04,1.4E-02,2.5E-01,2.0E-02,,,yes
cg15624852,3,87040269,VGLL3,TSS200,0.04,0.022,-0.0014,2.7E-04,-0.0012,8.9E-04,-0.0014,8.9E-04,1.4E-02,6.3E-02,5.9E-02,,,yes
cg01877260,15,38845483,RASGRP1,Body,0.87,0.052,-0.0017,2.7E-04,-0.0015,8.1E-04,-0.0008,9.4E-02,1.4E-02,6.0E-02,5.4E-01,,,yes
cg26383138,2,2119533,MYT1L,5'UTR,0.51,0.093,-0.0014,2.7E-04,-0.0008,1.6E-02,-0.0010,7.5E-03,1.4E-02,2.7E-01,1.8E-01,,,yes
cg27183435,1,23746677,TCEA3,Body,0.81,0.051,-0.0011,2.7E-04,-0.0005,9.7E-02,-0.0002,5.5E-01,1.4E-02,5.4E-01,8.9E-01,,,yes
cg17227967,20,9496556,C20orf103,Body,0.11,0.066,-0.0017,2.7E-04,-0.0010,1.6E-02,-0.0013,5.8E-03,1.4E-02,2.8E-01,1.6E-01,,,yes
cg05194362,2,114036444,PAX8,1stExon,0.81,0.046,-0.0009,2.7E-04,-0.0007,2.2E-03,-0.0008,1.5E-03,1.4E-02,1.1E-01,8.0E-02,,,yes
cg12434312,10,129845509,PTPRE,Body,0.19,0.044,-0.0010,2.7E-04,-0.0006,1.9E-02,-0.0009,1.5E-03,1.4E-02,3.0E-01,7.9E-02,,,yes
cg26633373,19,54377836,MYADM,3'UTR,0.50,0.097,-0.0006,2.7E-04,-0.0006,4.5E-04,-0.0006,6.4E-04,1.4E-02,4.2E-02,4.8E-02,,,yes
cg14442785,8,86379678,CA2,Body,0.74,0.080,-0.0010,2.7E-04,-0.0007,2.8E-03,-0.0005,5.7E-02,1.4E-02,1.2E-01,4.5E-01,,,yes
cg22220165,17,18908242,SLC5A10,Body,0.06,0.024,-0.0016,2.7E-04,-0.0012,2.4E-03,-0.0008,7.1E-02,1.4E-02,1.1E-01,4.8E-01,,,yes
cg05331856,13,40516584,,,0.35,0.058,-0.0009,2.7E-04,-0.0005,2.8E-02,-0.0008,2.0E-03,1.4E-02,3.5E-01,9.2E-02,,,yes
cg02963000,17,75731360,,,0.76,0.035,-0.0006,2.7E-04,-0.0005,3.5E-04,-0.0005,1.6E-03,1.4E-02,3.6E-02,8.1E-02,,,yes
cg08045301,16,71887487,ATXN1L,3'UTR,0.63,0.088,-0.0009,2.7E-04,-0.0005,2.0E-02,-0.0004,1.5E-01,1.4E-02,3.0E-01,6.2E-01,,,yes
cg00431837,6,107812732,SOBP,Body,0.14,0.055,-0.0012,2.7E-04,-0.0008,8.3E-03,-0.0007,4.0E-02,1.4E-02,2.1E-01,3.9E-01,,,yes
cg14969185,1,160073266,,,0.73,0.045,-0.0007,2.7E-04,-0.0005,4.1E-03,-0.0005,1.8E-02,1.4E-02,1.5E-01,2.8E-01,,,yes
cg08616061,5,140753570,PCDHGA4,Body,0.38,0.066,-0.0009,2.7E-04,-0.0006,4.5E-03,-0.0009,9.8E-05,1.4E-02,1.5E-01,1.5E-02,,,yes
cg23971170,1,165326269,LMX1A,TSS1500,0.18,0.058,-0.0014,2.7E-04,-0.0011,1.1E-03,-0.0012,2.8E-03,1.5E-02,7.1E-02,1.1E-01,,,yes
cg25549791,1,24126230,GALE,TSS200,0.31,0.052,-0.0008,2.7E-04,-0.0008,5.1E-05,-0.0007,9.8E-04,1.5E-02,1.0E-02,6.2E-02,,,yes
cg10123952,3,100791384,,,0.47,0.095,-0.0012,2.7E-04,-0.0008,6.4E-03,-0.0010,4.2E-03,1.5E-02,1.8E-01,1.4E-01,,,yes
cg21386573,1,94219800,,,0.58,0.099,-0.0011,2.7E-04,-0.0007,1.2E-02,-0.0007,3.0E-02,1.5E-02,2.4E-01,3.5E-01,,,yes
cg26791905,1,120254664,PHGDH,1stExon,0.07,0.024,-0.0010,2.7E-04,-0.0005,5.3E-02,-0.0007,2.0E-02,1.5E-02,4.4E-01,2.9E-01,,,yes
cg05492071,2,202650064,,,0.53,0.112,-0.0011,2.7E-04,-0.0010,4.8E-04,-0.0006,5.9E-02,1.5E-02,4.4E-02,4.5E-01,,,yes
cg03371962,12,1772323,,,0.86,0.046,-0.0013,2.7E-04,-0.0009,5.9E-03,-0.0011,3.7E-03,1.5E-02,1.8E-01,1.3E-01,,,yes
cg03497750,19,53445884,ZNF321,TSS200,0.24,0.043,-0.0008,2.7E-04,-0.0004,4.6E-02,-0.0007,2.2E-03,1.5E-02,4.2E-01,9.8E-02,,,yes
cg13825574,9,140117257,RNF208,TSS1500,0.12,0.070,-0.0020,2.7E-04,-0.0013,9.9E-03,-0.0016,4.6E-03,1.5E-02,2.2E-01,1.4E-01,,,yes
cg16509777,2,45172265,SIX3,3'UTR,0.26,0.054,-0.0008,2.7E-04,-0.0003,9.2E-02,-0.0003,2.2E-01,1.5E-02,5.3E-01,7.0E-01,,,yes
cg10977667,16,31053799,,,0.77,0.044,-0.0007,2.7E-04,-0.0006,1.6E-04,-0.0004,3.6E-02,1.5E-02,2.2E-02,3.7E-01,,,yes
